County,State,Income,Year
haakon,south dakota,44719.0,2016
hamlin,south dakota,38770.0,2016
hand,south dakota,46997.0,2016
hanson,south dakota,60596.0,2016
harding,south dakota,46263.0,2016
hughes,south dakota,49892.0,2016
hutchinson,south dakota,50502.0,2016
hyde,south dakota,45683.0,2016
jackson,south dakota,22718.0,2016
jerauld,south dakota,45559.0,2016
jones,south dakota,47662.0,2016
kingsbury,south dakota,49160.0,2016
lake,south dakota,53278.0,2016
lawrence,south dakota,44670.0,2016
lincoln,south dakota,63203.0,2016
lyman,south dakota,37577.0,2016
mccook,south dakota,46135.0,2016
mcpherson,south dakota,32800.0,2016
marshall,south dakota,43286.0,2016
meade,south dakota,39190.0,2016
mellette,south dakota,23106.0,2016
miner,south dakota,44126.0,2016
minnehaha,south dakota,51167.0,2016
moody,south dakota,46738.0,2016
oglala lakota,south dakota,23194.0,2016
pennington,south dakota,46755.0,2016
perkins,south dakota,38373.0,2016
potter,south dakota,76181.0,2016
roberts,south dakota,32605.0,2016
sanborn,south dakota,40719.0,2016
spink,south dakota,48318.0,2016
stanley,south dakota,62522.0,2016
sully,south dakota,56833.0,2016
todd,south dakota,23582.0,2016
tripp,south dakota,41322.0,2016
turner,south dakota,76806.0,2016
union,south dakota,98329.0,2016
walworth,south dakota,42522.0,2016
yankton,south dakota,45748.0,2016
ziebach,south dakota,16681.0,2016
anderson,tennessee,39225.0,2016
bedford,tennessee,34069.0,2016
benton,tennessee,34013.0,2016
bledsoe,tennessee,20353.0,2016
blount,tennessee,39226.0,2016
bradley,tennessee,37941.0,2016
campbell,tennessee,32077.0,2016
cannon,tennessee,33597.0,2016
carroll,tennessee,35275.0,2016
carter,tennessee,31973.0,2016
cheatham,tennessee,39469.0,2016
chester,tennessee,30506.0,2016
claiborne,tennessee,32048.0,2016
clay,tennessee,31434.0,2016
cocke,tennessee,29976.0,2016
coffee,tennessee,37307.0,2016
crockett,tennessee,35543.0,2016
cumberland,tennessee,34828.0,2016
davidson,tennessee,58283.0,2016
decatur,tennessee,34411.0,2016
dekalb,tennessee,34346.0,2016
dickson,tennessee,36490.0,2016
dyer,tennessee,38195.0,2016
fayette,tennessee,50209.0,2016
fentress,tennessee,29676.0,2016
franklin,tennessee,36366.0,2016
gibson,tennessee,36898.0,2016
giles,tennessee,37303.0,2016
grainger,tennessee,30538.0,2016
greene,tennessee,38067.0,2016
grundy,tennessee,29275.0,2016
hamblen,tennessee,35780.0,2016
hamilton,tennessee,48053.0,2016
hancock,tennessee,24256.0,2016
hardeman,tennessee,28296.0,2016
hardin,tennessee,36150.0,2016
hawkins,tennessee,32030.0,2016
haywood,tennessee,30274.0,2016
henderson,tennessee,33476.0,2016
henry,tennessee,38593.0,2016
hickman,tennessee,30069.0,2016
houston,tennessee,31806.0,2016
humphreys,tennessee,36179.0,2016
jackson,tennessee,28273.0,2016
jefferson,tennessee,32936.0,2016
johnson,tennessee,32024.0,2016
knox,tennessee,46305.0,2016
lake,tennessee,23894.0,2016
lauderdale,tennessee,26994.0,2016
lawrence,tennessee,31868.0,2016
lewis,tennessee,30567.0,2016
lincoln,tennessee,37660.0,2016
loudon,tennessee,43868.0,2016
mcminn,tennessee,33942.0,2016
mcnairy,tennessee,30003.0,2016
macon,tennessee,30401.0,2016
madison,tennessee,40101.0,2016
marion,tennessee,35307.0,2016
marshall,tennessee,34075.0,2016
maury,tennessee,38207.0,2016
meigs,tennessee,30712.0,2016
monroe,tennessee,31512.0,2016
montgomery,tennessee,39176.0,2016
moore,tennessee,37415.0,2016
morgan,tennessee,27978.0,2016
obion,tennessee,36729.0,2016
overton,tennessee,30197.0,2016
perry,tennessee,29390.0,2016
pickett,tennessee,37567.0,2016
polk,tennessee,32101.0,2016
putnam,tennessee,37218.0,2016
rhea,tennessee,33551.0,2016
roane,tennessee,38234.0,2016
robertson,tennessee,38033.0,2016
rutherford,tennessee,38098.0,2016
scott,tennessee,27435.0,2016
sequatchie,tennessee,34671.0,2016
sevier,tennessee,36285.0,2016
shelby,tennessee,46234.0,2016
smith,tennessee,34653.0,2016
stewart,tennessee,38469.0,2016
sullivan,tennessee,39345.0,2016
sumner,tennessee,43951.0,2016
tipton,tennessee,36192.0,2016
trousdale,tennessee,35177.0,2016
unicoi,tennessee,35499.0,2016
union,tennessee,29283.0,2016
van buren,tennessee,27268.0,2016
warren,tennessee,32930.0,2016
washington,tennessee,39909.0,2016
wayne,tennessee,27520.0,2016
weakley,tennessee,33491.0,2016
white,tennessee,31752.0,2016
williamson,tennessee,90979.0,2016
wilson,tennessee,44650.0,2016
anderson,texas,32978.0,2016
andrews,texas,46078.0,2016
angelina,texas,39002.0,2016
aransas,texas,45064.0,2016
archer,texas,45387.0,2016
armstrong,texas,38356.0,2016
atascosa,texas,35697.0,2016
austin,texas,49559.0,2016
bailey,texas,39395.0,2016
bandera,texas,40818.0,2016
bastrop,texas,33453.0,2016
baylor,texas,38923.0,2016
bee,texas,26466.0,2016
bell,texas,41380.0,2016
bexar,texas,43617.0,2016
blanco,texas,47365.0,2016
borden,texas,46359.0,2016
bosque,texas,39190.0,2016
bowie,texas,37899.0,2016
brazoria,texas,43842.0,2016
brazos,texas,34776.0,2016
brewster,texas,43579.0,2016
briscoe,texas,35305.0,2016
brooks,texas,33436.0,2016
brown,texas,33973.0,2016
burleson,texas,40421.0,2016
burnet,texas,43667.0,2016
caldwell,texas,31429.0,2016
calhoun,texas,36332.0,2016
callahan,texas,36353.0,2016
cameron,texas,27055.0,2016
camp,texas,36948.0,2016
carson,texas,45119.0,2016
cass,texas,33642.0,2016
castro,texas,46835.0,2016
chambers,texas,49970.0,2016
cherokee,texas,32404.0,2016
childress,texas,29459.0,2016
clay,texas,40714.0,2016
cochran,texas,44064.0,2016
coke,texas,33374.0,2016
coleman,texas,35608.0,2016
collin,texas,61179.0,2016
collingsworth,texas,39032.0,2016
colorado,texas,46072.0,2016
comal,texas,53333.0,2016
comanche,texas,36554.0,2016
concho,texas,22477.0,2016
cooke,texas,47889.0,2016
coryell,texas,32376.0,2016
cottle,texas,58009.0,2016
crane,texas,38322.0,2016
crockett,texas,34063.0,2016
crosby,texas,34986.0,2016
culberson,texas,43072.0,2016
dallam,texas,54826.0,2016
dallas,texas,52784.0,2016
dawson,texas,34055.0,2016
deaf smith,texas,37947.0,2016
delta,texas,37273.0,2016
denton,texas,51332.0,2016
dewitt,texas,55956.0,2016
dickens,texas,31954.0,2016
dimmit,texas,41310.0,2016
donley,texas,40549.0,2016
duval,texas,35308.0,2016
eastland,texas,51152.0,2016
ector,texas,41522.0,2016
edwards,texas,32575.0,2016
ellis,texas,40094.0,2016
el paso,texas,32954.0,2016
erath,texas,33107.0,2016
falls,texas,32442.0,2016
fannin,texas,36265.0,2016
fayette,texas,48197.0,2016
fisher,texas,45679.0,2016
floyd,texas,38116.0,2016
foard,texas,37381.0,2016
fort bend,texas,54005.0,2016
franklin,texas,34850.0,2016
freestone,texas,32667.0,2016
frio,texas,33854.0,2016
gaines,texas,35690.0,2016
galveston,texas,47605.0,2016
garza,texas,36064.0,2016
gillespie,texas,55644.0,2016
glasscock,texas,91765.0,2016
goliad,texas,42320.0,2016
gonzales,texas,42456.0,2016
gray,texas,41772.0,2016
grayson,texas,38932.0,2016
gregg,texas,44580.0,2016
grimes,texas,35677.0,2016
guadalupe,texas,42164.0,2016
hale,texas,32061.0,2016
hall,texas,34752.0,2016
hamilton,texas,55320.0,2016
hansford,texas,64374.0,2016
hardeman,texas,36699.0,2016
hardin,texas,42744.0,2016
harris,texas,52452.0,2016
harrison,texas,41146.0,2016
hartley,texas,53566.0,2016
haskell,texas,34858.0,2016
hays,texas,38912.0,2016
hemphill,texas,73671.0,2016
henderson,texas,37941.0,2016
hidalgo,texas,24805.0,2016
hill,texas,37444.0,2016
hockley,texas,41958.0,2016
hood,texas,47654.0,2016
hopkins,texas,36530.0,2016
houston,texas,37420.0,2016
howard,texas,33483.0,2016
hudspeth,texas,32506.0,2016
hunt,texas,35083.0,2016
hutchinson,texas,41422.0,2016
irion,texas,63937.0,2016
jack,texas,36585.0,2016
jackson,texas,39344.0,2016
jasper,texas,37322.0,2016
jeff davis,texas,36885.0,2016
jefferson,texas,41813.0,2016
jim hogg,texas,27317.0,2016
jim wells,texas,39858.0,2016
johnson,texas,38247.0,2016
jones,texas,29703.0,2016
karnes,texas,48791.0,2016
kaufman,texas,38661.0,2016
kendall,texas,77002.0,2016
kenedy,texas,41349.0,2016
kent,texas,41662.0,2016
kerr,texas,45196.0,2016
kimble,texas,41201.0,2016
king,texas,41779.0,2016
kinney,texas,29350.0,2016
kleberg,texas,35066.0,2016
knox,texas,33784.0,2016
lamar,texas,38518.0,2016
lamb,texas,37483.0,2016
lampasas,texas,46808.0,2016
la salle,texas,45720.0,2016
lavaca,texas,46227.0,2016
lee,texas,45276.0,2016
leon,texas,39459.0,2016
liberty,texas,34631.0,2016
limestone,texas,33135.0,2016
lipscomb,texas,55113.0,2016
live oak,texas,40899.0,2016
llano,texas,45385.0,2016
loving,texas,39221.0,2016
lubbock,texas,38757.0,2016
lynn,texas,37224.0,2016
mcculloch,texas,35871.0,2016
mclennan,texas,38125.0,2016
mcmullen,texas,104531.0,2016
madison,texas,30114.0,2016
marion,texas,33010.0,2016
martin,texas,47612.0,2016
mason,texas,37632.0,2016
matagorda,texas,39090.0,2016
maverick,texas,27228.0,2016
medina,texas,37190.0,2016
menard,texas,33907.0,2016
midland,texas,105486.0,2016
milam,texas,36201.0,2016
mills,texas,36072.0,2016
mitchell,texas,30812.0,2016
montague,texas,43320.0,2016
montgomery,texas,56730.0,2016
moore,texas,36467.0,2016
morris,texas,39979.0,2016
motley,texas,30558.0,2016
nacogdoches,texas,33812.0,2016
navarro,texas,35443.0,2016
newton,texas,30643.0,2016
nolan,texas,37774.0,2016
nueces,texas,40800.0,2016
ochiltree,texas,59176.0,2016
oldham,texas,44717.0,2016
orange,texas,41509.0,2016
palo pinto,texas,37361.0,2016
panola,texas,37930.0,2016
parker,texas,48692.0,2016
parmer,texas,41577.0,2016
pecos,texas,31851.0,2016
polk,texas,36231.0,2016
potter,texas,41868.0,2016
presidio,texas,34960.0,2016
rains,texas,32899.0,2016
randall,texas,45294.0,2016
reagan,texas,47649.0,2016
real,texas,30105.0,2016
red river,texas,37454.0,2016
reeves,texas,30106.0,2016
refugio,texas,42014.0,2016
roberts,texas,40354.0,2016
robertson,texas,38305.0,2016
rockwall,texas,54406.0,2016
runnels,texas,36696.0,2016
rusk,texas,35532.0,2016
sabine,texas,36277.0,2016
san augustine,texas,34908.0,2016
san jacinto,texas,31569.0,2016
san patricio,texas,40868.0,2016
san saba,texas,36772.0,2016
schleicher,texas,34963.0,2016
scurry,texas,45218.0,2016
shackelford,texas,162378.0,2016
shelby,texas,37254.0,2016
sherman,texas,55319.0,2016
smith,texas,49857.0,2016
somervell,texas,41000.0,2016
starr,texas,24140.0,2016
stephens,texas,36446.0,2016
sterling,texas,52067.0,2016
stonewall,texas,45778.0,2016
sutton,texas,45911.0,2016
swisher,texas,41073.0,2016
tarrant,texas,48050.0,2016
taylor,texas,42783.0,2016
terrell,texas,45983.0,2016
terry,texas,35617.0,2016
throckmorton,texas,45369.0,2016
titus,texas,32571.0,2016
tom green,texas,42729.0,2016
travis,texas,58700.0,2016
trinity,texas,32889.0,2016
tyler,texas,31439.0,2016
upshur,texas,34509.0,2016
upton,texas,48477.0,2016
uvalde,texas,37955.0,2016
val verde,texas,34778.0,2016
van zandt,texas,34859.0,2016
victoria,texas,44438.0,2016
walker,texas,25719.0,2016
waller,texas,34602.0,2016
ward,texas,39107.0,2016
washington,texas,47470.0,2016
webb,texas,29426.0,2016
wharton,texas,39849.0,2016
wheeler,texas,42229.0,2016
wichita,texas,42110.0,2016
wilbarger,texas,37766.0,2016
willacy,texas,26715.0,2016
williamson,texas,44679.0,2016
wilson,texas,41187.0,2016
winkler,texas,37673.0,2016
wise,texas,40825.0,2016
wood,texas,35236.0,2016
yoakum,texas,40054.0,2016
young,texas,47362.0,2016
zapata,texas,24226.0,2016
zavala,texas,27691.0,2016
beaver,utah,33652.0,2016
box elder,utah,33265.0,2016
cache,utah,33896.0,2016
carbon,utah,34149.0,2016
daggett,utah,34879.0,2016
davis,utah,41339.0,2016
duchesne,utah,32430.0,2016
emery,utah,30316.0,2016
garfield,utah,35183.0,2016
grand,utah,41958.0,2016
iron,utah,27068.0,2016
juab,utah,32829.0,2016
kane,utah,37134.0,2016
millard,utah,32080.0,2016
morgan,utah,45755.0,2016
piute,utah,28104.0,2016
rich,utah,34549.0,2016
salt lake,utah,46762.0,2016
san juan,utah,22260.0,2016
sanpete,utah,25798.0,2016
sevier,utah,30644.0,2016
summit,utah,108675.0,2016
tooele,utah,33240.0,2016
uintah,utah,29251.0,2016
utah,utah,36215.0,2016
wasatch,utah,42331.0,2016
washington,utah,32924.0,2016
wayne,utah,31401.0,2016
weber,utah,37691.0,2016
addison,vermont,46092.0,2016
bennington,vermont,49278.0,2016
caledonia,vermont,39282.0,2016
chittenden,vermont,56501.0,2016
essex,vermont,34708.0,2016
franklin,vermont,42178.0,2016
grand isle,vermont,54335.0,2016
lamoille,vermont,49571.0,2016
orange,vermont,43531.0,2016
orleans,vermont,41324.0,2016
rutland,vermont,49375.0,2016
washington,vermont,54404.0,2016
windham,vermont,48065.0,2016
windsor,vermont,53186.0,2016
accomack,virginia,39596.0,2016
amelia,virginia,40530.0,2016
amherst,virginia,34351.0,2016
appomattox,virginia,35344.0,2016
arlington,virginia,87986.0,2016
bath,virginia,51519.0,2016
bedford,virginia,42082.0,2016
bland,virginia,33354.0,2016
botetourt,virginia,46748.0,2016
brunswick,virginia,32958.0,2016
buchanan,virginia,31677.0,2016
buckingham,virginia,27637.0,2016
caroline,virginia,41318.0,2016
charles city,virginia,40464.0,2016
charlotte,virginia,33255.0,2016
chesterfield,virginia,49546.0,2016
clarke,virginia,59162.0,2016
craig,virginia,34705.0,2016
culpeper,virginia,42889.0,2016
cumberland,virginia,34967.0,2016
dickenson,virginia,27807.0,2016
essex,virginia,39383.0,2016
fauquier,virginia,63854.0,2016
floyd,virginia,34622.0,2016
fluvanna,virginia,40825.0,2016
franklin,virginia,37300.0,2016
giles,virginia,36957.0,2016
gloucester,virginia,45923.0,2016
goochland,virginia,87084.0,2016
grayson,virginia,31556.0,2016
greene,virginia,40175.0,2016
halifax,virginia,34527.0,2016
hanover,virginia,55447.0,2016
henrico,virginia,58876.0,2016
highland,virginia,44881.0,2016
isle of wight,virginia,51213.0,2016
king and queen,virginia,39615.0,2016
king george,virginia,52212.0,2016
king william,virginia,43562.0,2016
lancaster,virginia,51821.0,2016
lee,virginia,28013.0,2016
loudoun,virginia,71218.0,2016
louisa,virginia,42721.0,2016
lunenburg,virginia,31256.0,2016
madison,virginia,47435.0,2016
mathews,virginia,51336.0,2016
mecklenburg,virginia,34723.0,2016
middlesex,virginia,46594.0,2016
nelson,virginia,45323.0,2016
new kent,virginia,58802.0,2016
northampton,virginia,38733.0,2016
northumberland,virginia,44653.0,2016
nottoway,virginia,36294.0,2016
orange,virginia,43679.0,2016
page,virginia,36716.0,2016
patrick,virginia,31682.0,2016
powhatan,virginia,50490.0,2016
prince edward,virginia,30149.0,2016
pulaski,virginia,37219.0,2016
rappahannock,virginia,56573.0,2016
richmond,virginia,33810.0,2016
russell,virginia,32163.0,2016
scott,virginia,31208.0,2016
shenandoah,virginia,39940.0,2016
smyth,virginia,34516.0,2016
stafford,virginia,51177.0,2016
surry,virginia,41337.0,2016
sussex,virginia,29439.0,2016
tazewell,virginia,33908.0,2016
warren,virginia,42374.0,2016
westmoreland,virginia,41178.0,2016
wythe,virginia,35287.0,2016
alexandria city,virginia,83167.0,2016
chesapeake city,virginia,47302.0,2016
hampton city,virginia,41385.0,2016
newport news city,virginia,40967.0,2016
norfolk city,virginia,38484.0,2016
portsmouth city,virginia,39170.0,2016
richmond city,virginia,51160.0,2016
roanoke city,virginia,42263.0,2016
suffolk city,virginia,48467.0,2016
virginia beach city,virginia,53432.0,2016
albemarle,virginia,60964.0,2016
alleghany,virginia,37436.0,2016
augusta,virginia,39856.0,2016
campbell,virginia,35818.0,2016
carroll,virginia,33418.0,2016
dinwiddie,virginia,38356.0,2016
fairfax,virginia,75978.0,2016
frederick,virginia,46356.0,2016
greensville,virginia,31247.0,2016
henry,virginia,35899.0,2016
james city,virginia,59632.0,2016
montgomery,virginia,33650.0,2016
pittsylvania,virginia,35326.0,2016
prince george,virginia,37561.0,2016
prince william,virginia,51164.0,2016
roanoke,virginia,48384.0,2016
rockbridge,virginia,37989.0,2016
rockingham,virginia,36021.0,2016
southampton,virginia,35898.0,2016
spotsylvania,virginia,47230.0,2016
washington,virginia,39321.0,2016
wise,virginia,29502.0,2016
york,virginia,54592.0,2016
adams,washington,44393.0,2016
asotin,washington,42940.0,2016
benton,washington,45329.0,2016
chelan,washington,47428.0,2016
clallam,washington,40985.0,2016
clark,washington,47078.0,2016
columbia,washington,48136.0,2016
cowlitz,washington,41449.0,2016
douglas,washington,36951.0,2016
ferry,washington,32876.0,2016
franklin,washington,35339.0,2016
garfield,washington,43447.0,2016
grant,washington,40879.0,2016
grays harbor,washington,36824.0,2016
island,washington,49741.0,2016
jefferson,washington,48625.0,2016
king,washington,77213.0,2016
kitsap,washington,49709.0,2016
kittitas,washington,40161.0,2016
klickitat,washington,45595.0,2016
lewis,washington,38586.0,2016
lincoln,washington,46053.0,2016
mason,washington,37986.0,2016
okanogan,washington,39912.0,2016
pacific,washington,42039.0,2016
pend oreille,washington,36911.0,2016
pierce,washington,46706.0,2016
san juan,washington,69155.0,2016
skagit,washington,46565.0,2016
skamania,washington,40338.0,2016
snohomish,washington,49511.0,2016
spokane,washington,42028.0,2016
stevens,washington,35855.0,2016
thurston,washington,45932.0,2016
wahkiakum,washington,36990.0,2016
walla walla,washington,43459.0,2016
whatcom,washington,44273.0,2016
whitman,washington,35697.0,2016
yakima,washington,40558.0,2016
barbour,west virginia,29329.0,2016
berkeley,west virginia,37576.0,2016
boone,west virginia,31026.0,2016
braxton,west virginia,28548.0,2016
brooke,west virginia,37320.0,2016
cabell,west virginia,38676.0,2016
calhoun,west virginia,26978.0,2016
clay,west virginia,28506.0,2016
doddridge,west virginia,25258.0,2016
fayette,west virginia,30239.0,2016
gilmer,west virginia,24779.0,2016
grant,west virginia,33204.0,2016
greenbrier,west virginia,34932.0,2016
hampshire,west virginia,31730.0,2016
hancock,west virginia,37934.0,2016
hardy,west virginia,28475.0,2016
harrison,west virginia,42664.0,2016
jackson,west virginia,34234.0,2016
jefferson,west virginia,45227.0,2016
kanawha,west virginia,44060.0,2016
lewis,west virginia,35314.0,2016
lincoln,west virginia,27377.0,2016
logan,west virginia,32950.0,2016
mcdowell,west virginia,27401.0,2016
marion,west virginia,38428.0,2016
marshall,west virginia,36298.0,2016
mason,west virginia,30307.0,2016
mercer,west virginia,34063.0,2016
mineral,west virginia,36836.0,2016
mingo,west virginia,28162.0,2016
monongalia,west virginia,40949.0,2016
monroe,west virginia,28409.0,2016
morgan,west virginia,33201.0,2016
nicholas,west virginia,31296.0,2016
ohio,west virginia,48607.0,2016
pendleton,west virginia,34931.0,2016
pleasants,west virginia,39069.0,2016
pocahontas,west virginia,34591.0,2016
preston,west virginia,33059.0,2016
putnam,west virginia,42222.0,2016
raleigh,west virginia,35280.0,2016
randolph,west virginia,33217.0,2016
ritchie,west virginia,31893.0,2016
roane,west virginia,30881.0,2016
summers,west virginia,28278.0,2016
taylor,west virginia,35136.0,2016
tucker,west virginia,33847.0,2016
tyler,west virginia,32798.0,2016
upshur,west virginia,30790.0,2016
wayne,west virginia,30296.0,2016
webster,west virginia,26644.0,2016
wetzel,west virginia,34072.0,2016
wirt,west virginia,28956.0,2016
wood,west virginia,38194.0,2016
wyoming,west virginia,27510.0,2016
adams,wisconsin,35963.0,2016
ashland,wisconsin,36817.0,2016
barron,wisconsin,44458.0,2016
bayfield,wisconsin,42370.0,2016
brown,wisconsin,47319.0,2016
buffalo,wisconsin,42666.0,2016
burnett,wisconsin,38987.0,2016
calumet,wisconsin,45569.0,2016
chippewa,wisconsin,41434.0,2016
clark,wisconsin,36683.0,2016
columbia,wisconsin,46574.0,2016
crawford,wisconsin,38041.0,2016
dane,wisconsin,55232.0,2016
dodge,wisconsin,40224.0,2016
door,wisconsin,55336.0,2016
douglas,wisconsin,38861.0,2016
dunn,wisconsin,36411.0,2016
eau claire,wisconsin,43543.0,2016
florence,wisconsin,48949.0,2016
fond du lac,wisconsin,44665.0,2016
forest,wisconsin,35263.0,2016
grant,wisconsin,39588.0,2016
green,wisconsin,46729.0,2016
green lake,wisconsin,44759.0,2016
iowa,wisconsin,44484.0,2016
iron,wisconsin,44542.0,2016
jackson,wisconsin,39690.0,2016
jefferson,wisconsin,41698.0,2016
juneau,wisconsin,37345.0,2016
kenosha,wisconsin,42368.0,2016
kewaunee,wisconsin,42867.0,2016
la crosse,wisconsin,45731.0,2016
lafayette,wisconsin,42877.0,2016
langlade,wisconsin,40940.0,2016
lincoln,wisconsin,41410.0,2016
manitowoc,wisconsin,45433.0,2016
marathon,wisconsin,45076.0,2016
marinette,wisconsin,40338.0,2016
marquette,wisconsin,37159.0,2016
menominee,wisconsin,27907.0,2016
milwaukee,wisconsin,43375.0,2016
monroe,wisconsin,38566.0,2016
oconto,wisconsin,41614.0,2016
oneida,wisconsin,46675.0,2016
outagamie,wisconsin,46814.0,2016
ozaukee,wisconsin,73944.0,2016
pepin,wisconsin,44954.0,2016
pierce,wisconsin,43314.0,2016
polk,wisconsin,42276.0,2016
portage,wisconsin,42386.0,2016
price,wisconsin,44123.0,2016
racine,wisconsin,44813.0,2016
richland,wisconsin,38905.0,2016
rock,wisconsin,40477.0,2016
rusk,wisconsin,35944.0,2016
st. croix,wisconsin,49494.0,2016
sauk,wisconsin,44037.0,2016
sawyer,wisconsin,41614.0,2016
shawano,wisconsin,38050.0,2016
sheboygan,wisconsin,47930.0,2016
taylor,wisconsin,36503.0,2016
trempealeau,wisconsin,42332.0,2016
vernon,wisconsin,37031.0,2016
vilas,wisconsin,50437.0,2016
walworth,wisconsin,43989.0,2016
washburn,wisconsin,43323.0,2016
washington,wisconsin,52051.0,2016
waukesha,wisconsin,65522.0,2016
waupaca,wisconsin,43448.0,2016
waushara,wisconsin,39829.0,2016
winnebago,wisconsin,43641.0,2016
wood,wisconsin,43193.0,2016
shawano,wisconsin,,2016
albany,wyoming,38898.0,2016
big horn,wyoming,35815.0,2016
campbell,wyoming,48507.0,2016
carbon,wyoming,49195.0,2016
converse,wyoming,51182.0,2016
crook,wyoming,40644.0,2016
fremont,wyoming,39326.0,2016
goshen,wyoming,40675.0,2016
hot springs,wyoming,51302.0,2016
johnson,wyoming,43447.0,2016
laramie,wyoming,49763.0,2016
lincoln,wyoming,39357.0,2016
natrona,wyoming,69087.0,2016
niobrara,wyoming,45046.0,2016
park,wyoming,50212.0,2016
platte,wyoming,43532.0,2016
sheridan,wyoming,52286.0,2016
sublette,wyoming,45863.0,2016
sweetwater,wyoming,48075.0,2016
teton,wyoming,199635.0,2016
uinta,wyoming,39613.0,2016
washakie,wyoming,42129.0,2016
weston,wyoming,41947.0,2016
