air_temp_set_1,altimeter_set_1,precip_accum_24_hour_set_1,relative_humidity_set_1,wind_speed_set_1,Date,State,County
5.205,,,79.86,7.7,2016-01-01,ME,Knox
4.39,,,56.85,8.79,2016-01-02,ME,Knox
2.8449999999999998,,,54.76,10.29,2016-01-03,ME,Knox
5.04,,,60.77,10.29,2016-01-04,ME,Knox
-11.55,,,,15.99,2016-01-05,ME,Knox
-10.11,,,,4.09,2016-01-06,ME,Knox
-1.04,,,,11.29,2016-01-07,ME,Knox
-2.26,102607.53,0.0,79.0,1.05,2016-01-08,ME,Knox
0.17,,,,9.29,2016-01-09,ME,Knox
1.48,,,,8.2,2016-01-10,ME,Knox
9.46,,,,27.78,2016-01-11,ME,Knox
-3.98,,,,13.39,2016-01-12,ME,Knox
-1.76,,,,14.39,2016-01-13,ME,Knox
-7.103333333333333,100626.48999999999,1.651,63.5,11.313333333333333,2016-01-14,ME,Knox
-8.38,,,,9.8,2016-01-15,ME,Knox
-3.62,,,,5.69,2016-01-16,ME,Knox
-5.78,,,,6.69,2016-01-17,ME,Knox
-2.18,,,,7.7,2016-01-18,ME,Knox
-7.46,,,,18.48,2016-01-19,ME,Knox
-11.72,,,,17.98,2016-01-20,ME,Knox
-7.58,,,,11.79,2016-01-21,ME,Knox
-8.09,,,,15.39,2016-01-22,ME,Knox
-5.97,,,,8.2,2016-01-23,ME,Knox
-8.45,,,,14.39,2016-01-24,ME,Knox
-4.2,,,,7.2,2016-01-25,ME,Knox
-4.76,,,,4.6,2016-01-26,ME,Knox
6.529999999999999,100745.01,0.0,89.0,9.205,2016-01-27,ME,Knox
-1.21,,,,11.29,2016-01-28,ME,Knox
-1.82,,,,9.8,2016-01-29,ME,Knox
0.01,,,,7.2,2016-01-30,ME,Knox
0.87,,,,14.39,2016-01-31,ME,Knox
1.67,,,,8.79,2016-02-01,ME,Knox
5.38,,,,8.79,2016-02-02,ME,Knox
0.71,,,,2.1,2016-02-03,ME,Knox
7.605,101490.02,0.0,94.0,12.485,2016-02-04,ME,Knox
5.92,,,,3.6,2016-02-05,ME,Knox
-3.95,,,,17.98,2016-02-06,ME,Knox
-0.63,,,,15.39,2016-02-07,ME,Knox
-0.41,,,,7.7,2016-02-08,ME,Knox
-7.99,,,,15.39,2016-02-09,ME,Knox
-6.71,,,,5.1,2016-02-10,ME,Knox
