,State,County,aqi,ghg,income,pop,plant,weather_epa,weather_meso
2252,alaska,valdezchitinawhittier,,,1.0,,,,
1086,alaska,valdezcordova,,1.0,1.0,1.0,1.0,,
3194,alaska,wadehampton,,,,,1.0,,
2239,alaska,wrangell,,,1.0,1.0,,,
2240,alaska,wrangellpetersburg,,,1.0,,1.0,,
2241,alaska,yakutat,,,1.0,1.0,1.0,,
2169,alaska,yukonkoyukuk,,1.0,1.0,1.0,1.0,,1.0
25,arizona,apache,1.0,1.0,1.0,1.0,1.0,,1.0
26,arizona,cochise,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,arizona,coconino,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,arizona,gila,1.0,1.0,1.0,1.0,1.0,,1.0
1087,arizona,graham,,1.0,1.0,1.0,,,
1088,arizona,greenlee,,1.0,1.0,1.0,,,
29,arizona,lapaz,1.0,1.0,1.0,1.0,1.0,,1.0
30,arizona,maricopa,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,arizona,mohave,1.0,1.0,1.0,1.0,1.0,,1.0
32,arizona,navajo,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,arizona,pima,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,arizona,pinal,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,arizona,santacruz,1.0,,1.0,1.0,1.0,,1.0
36,arizona,yavapai,1.0,1.0,1.0,1.0,1.0,,1.0
37,arizona,yuma,1.0,1.0,1.0,1.0,1.0,,1.0
38,arkansas,arkansas,1.0,1.0,1.0,1.0,1.0,,1.0
39,arkansas,ashley,1.0,1.0,1.0,1.0,1.0,,1.0
1089,arkansas,baxter,,1.0,1.0,1.0,1.0,,
1090,arkansas,benton,,1.0,1.0,1.0,1.0,,
2253,arkansas,boone,,,1.0,1.0,,,
2254,arkansas,bradley,,,1.0,1.0,1.0,,
2120,arkansas,calhoun,,1.0,1.0,1.0,1.0,,
1091,arkansas,carroll,,1.0,1.0,1.0,1.0,,
2255,arkansas,chicot,,,1.0,1.0,,,
40,arkansas,clark,1.0,1.0,1.0,1.0,1.0,,1.0
2256,arkansas,clay,,,1.0,1.0,1.0,,
1092,arkansas,cleburne,,1.0,1.0,1.0,1.0,,
2257,arkansas,cleveland,,,1.0,1.0,,,
1093,arkansas,columbia,,1.0,1.0,1.0,,,
1094,arkansas,conway,,1.0,1.0,1.0,1.0,,
1095,arkansas,craighead,,1.0,1.0,1.0,1.0,,
1096,arkansas,crawford,,1.0,1.0,1.0,1.0,,
41,arkansas,crittenden,1.0,1.0,1.0,1.0,,,1.0
2258,arkansas,cross,,,1.0,1.0,,,
2067,arkansas,dallas,,1.0,1.0,1.0,,,
1097,arkansas,desha,,1.0,1.0,1.0,1.0,,
2259,arkansas,drew,,,1.0,1.0,,,
1098,arkansas,faulkner,,1.0,1.0,1.0,,,
1099,arkansas,franklin,,1.0,1.0,1.0,1.0,,
2260,arkansas,fulton,,,1.0,1.0,,,
42,arkansas,garland,1.0,1.0,1.0,1.0,1.0,,1.0
2261,arkansas,grant,,,1.0,1.0,,,
1100,arkansas,greene,,1.0,1.0,1.0,1.0,,
1101,arkansas,hempstead,,1.0,1.0,1.0,1.0,,
1102,arkansas,hotspring,,1.0,1.0,1.0,1.0,,
1103,arkansas,howard,,1.0,1.0,1.0,,,
1104,arkansas,independence,,1.0,1.0,1.0,1.0,,
2262,arkansas,izard,,,1.0,1.0,1.0,,
43,arkansas,jackson,1.0,1.0,1.0,1.0,,,1.0
1105,arkansas,jefferson,,1.0,1.0,1.0,1.0,,
2068,arkansas,johnson,,1.0,1.0,1.0,,,
1106,arkansas,lafayette,,1.0,1.0,1.0,,,
2263,arkansas,lawrence,,,1.0,1.0,,,
2264,arkansas,lee,,,1.0,1.0,,,
2265,arkansas,lincoln,,,1.0,1.0,,,
1107,arkansas,littleriver,,1.0,1.0,1.0,1.0,,
1108,arkansas,logan,,1.0,1.0,1.0,,,
2266,arkansas,lonoke,,,1.0,1.0,,,
2267,arkansas,madison,,,1.0,1.0,,,
2268,arkansas,marion,,,1.0,1.0,1.0,,
1109,arkansas,miller,,1.0,1.0,1.0,,,
1110,arkansas,mississippi,,1.0,1.0,1.0,1.0,,
2269,arkansas,monroe,,,1.0,1.0,,,
2270,arkansas,montgomery,,,1.0,1.0,,,
2271,arkansas,nevada,,,1.0,1.0,,,
44,arkansas,newton,1.0,,1.0,1.0,,,1.0
1111,arkansas,ouachita,,1.0,1.0,1.0,1.0,,
2272,arkansas,perry,,,1.0,1.0,,,
1112,arkansas,phillips,,1.0,1.0,1.0,,,
2273,arkansas,pike,,,1.0,1.0,1.0,,
2274,arkansas,poinsett,,,1.0,1.0,,,
45,arkansas,polk,1.0,,1.0,1.0,,,1.0
2275,arkansas,pope,,,1.0,1.0,1.0,,
1113,arkansas,prairie,,1.0,1.0,1.0,,,
46,arkansas,pulaski,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1114,arkansas,randolph,,1.0,1.0,1.0,,,
1116,arkansas,saline,,1.0,1.0,1.0,,,
2276,arkansas,scott,,,1.0,1.0,,,
2277,arkansas,searcy,,,1.0,1.0,,,
1117,arkansas,sebastian,,1.0,1.0,1.0,,,
2278,arkansas,sevier,,,1.0,1.0,,,
1118,arkansas,sharp,,1.0,1.0,1.0,,,
