air_temp_set_1,altimeter_set_1,precip_accum_24_hour_set_1,relative_humidity_set_1,wind_speed_set_1,Date,State,County
-0.3,,,74.0,0.5,2016-01-01,IN,Johnson
-1.7,,,75.0,1.6,2016-01-02,IN,Johnson
1.7,,,62.0,0.2,2016-01-03,IN,Johnson
0.05,102235.02,0.0,84.0,2.02,2016-01-04,IN,Johnson
-0.8,,,70.0,0.0,2016-01-05,IN,Johnson
-2.6,,,72.0,0.1,2016-01-06,IN,Johnson
0.9,,,63.0,0.0,2016-01-07,IN,Johnson
3.8,,,73.0,0.5,2016-01-08,IN,Johnson
8.895,100948.2,3.048,97.5,0.65,2016-01-09,IN,Johnson
8.7,,,99.0,1.1,2016-01-10,IN,Johnson
-11.8,,,85.0,2.0,2016-01-11,IN,Johnson
-4.7,,,79.0,2.0,2016-01-12,IN,Johnson
-11.0,,,71.0,0.7,2016-01-13,IN,Johnson
-5.9,,,67.0,0.0,2016-01-14,IN,Johnson
6.6,,,74.0,2.4,2016-01-15,IN,Johnson
6.4,,,99.0,1.2,2016-01-16,IN,Johnson
-1.0050000000000001,101490.02,0.254,81.5,1.545,2016-01-17,IN,Johnson
-12.1,,,61.0,4.2,2016-01-18,IN,Johnson
-12.0,,,58.0,2.0,2016-01-19,IN,Johnson
-8.6,,,59.0,0.0,2016-01-20,IN,Johnson
-5.9,,,77.0,1.2,2016-01-21,IN,Johnson
-5.8,,,76.0,0.1,2016-01-22,IN,Johnson
-2.8,,,74.0,4.3,2016-01-23,IN,Johnson
-4.0,,,74.0,1.4,2016-01-24,IN,Johnson
0.56,101828.66,0.254,69.0,0.0,2016-01-25,IN,Johnson
,,,,,2016-01-26,IN,Johnson
-0.6,,,76.0,3.3,2016-01-27,IN,Johnson
-2.2,,,69.0,0.0,2016-01-28,IN,Johnson
5.2,,,65.0,1.8,2016-01-29,IN,Johnson
1.2,,,59.0,0.2,2016-01-30,IN,Johnson
