air_temp_set_1,altimeter_set_1,precip_accum_24_hour_set_1,relative_humidity_set_1,wind_speed_set_1,Date,State,County
-1.0,,,77.0,1.835,2016-01-01,IN,Boone
-2.75,,,77.5,1.375,2016-01-02,IN,Boone
0.6000000000000001,,,74.0,1.58,2016-01-03,IN,Boone
-0.7,,,82.0,2.05,2016-01-04,IN,Boone
-1.2000000000000002,,,70.0,2.23,2016-01-05,IN,Boone
-2.3,,,60.0,0.725,2016-01-06,IN,Boone
1.0,,,58.0,0.8300000000000001,2016-01-07,IN,Boone
4.25,,,66.5,1.0250000000000001,2016-01-08,IN,Boone
8.743333333333334,101049.79,,95.0,2.24,2016-01-09,IN,Boone
8.776666666666667,100575.69,12.446,96.0,2.7100000000000004,2016-01-10,IN,Boone
-11.39,102099.57,,80.33333333333333,4.406666666666667,2016-01-11,IN,Boone
-5.386666666666667,101422.29,0.0,79.33333333333333,2.6,2016-01-12,IN,Boone
-12.626666666666665,102336.62,0.0,72.66666666666667,0.6533333333333333,2016-01-13,IN,Boone
-6.35,,,69.5,1.64,2016-01-14,IN,Boone
7.575,100778.875,4.064,72.0,1.1600000000000001,2016-01-15,IN,Boone
2.75,,,92.5,4.795,2016-01-16,IN,Boone
-1.65,,,78.0,1.6600000000000001,2016-01-17,IN,Boone
-14.0,,,65.0,4.39,2016-01-18,IN,Boone
-13.100000000000001,,,65.5,3.795,2016-01-19,IN,Boone
-9.149999999999999,,,57.0,0.56,2016-01-20,IN,Boone
-8.3,,,77.5,0.45,2016-01-21,IN,Boone
-5.836666666666666,102675.25,0.508,70.33333333333333,1.2666666666666668,2016-01-22,IN,Boone
-3.5966666666666662,102133.43,0.0,82.33333333333333,2.4433333333333334,2016-01-23,IN,Boone
-4.75,,,77.0,0.165,2016-01-24,IN,Boone
0.6,101760.93,0.254,65.5,1.1400000000000001,2016-01-25,IN,Boone
6.484999999999999,101049.79,0.254,84.5,1.585,2016-01-26,IN,Boone
-1.6566666666666665,102370.48,0.508,76.66666666666667,2.106666666666667,2016-01-27,IN,Boone
-2.54,102133.43,0.254,65.0,1.2233333333333334,2016-01-28,IN,Boone
3.776666666666667,100948.2,0.0,73.66666666666667,2.436666666666667,2016-01-29,IN,Boone
0.20000000000000004,101625.47,0.0,57.666666666666664,0.5133333333333333,2016-01-30,IN,Boone
9.15,,,65.0,1.09,2016-01-31,IN,Boone
14.45,,,74.5,2.56,2016-02-01,IN,Boone
3.05,,,83.0,0.685,2016-02-02,IN,Boone
14.399999999999999,,,86.0,3.705,2016-02-03,IN,Boone
0.95,,,88.5,1.82,2016-02-04,IN,Boone
-2.91,102776.85,0.254,68.66666666666667,0.9199999999999999,2016-02-05,IN,Boone
-1.5566666666666666,103013.89,0.0,76.33333333333333,1.2033333333333334,2016-02-06,IN,Boone
2.893333333333333,102505.93,0.0,63.0,0.5666666666666668,2016-02-07,IN,Boone
8.5,,,50.5,1.295,2016-02-08,IN,Boone
-4.6,,,81.0,3.58,2016-02-09,IN,Boone
-8.35,,,76.0,3.5199999999999996,2016-02-10,IN,Boone
-9.15,,,64.5,1.63,2016-02-11,IN,Boone
-5.8,,,54.0,0.525,2016-02-12,IN,Boone
-5.550000000000001,,,57.0,4.51,2016-02-13,IN,Boone
-9.0,,,44.0,0.9299999999999999,2016-02-14,IN,Boone
-8.2,,,82.0,2.9699999999999998,2016-02-15,IN,Boone
-0.8,,,87.5,0.535,2016-02-16,IN,Boone
-1.65,,,82.0,0.7350000000000001,2016-02-17,IN,Boone
0.44999999999999996,,,68.0,0.905,2016-02-18,IN,Boone
5.35,,,62.0,3.87,2016-02-19,IN,Boone
14.25,,,63.5,3.4400000000000004,2016-02-20,IN,Boone
14.943333333333333,101659.34,0.0,43.666666666666664,0.7233333333333333,2016-02-21,IN,Boone
7.8066666666666675,102031.84,0.0,67.66666666666667,1.0966666666666667,2016-02-22,IN,Boone
4.98,101997.98,0.0,65.33333333333333,0.86,2016-02-23,IN,Boone
6.32,101422.29,0.0,56.333333333333336,2.2133333333333334,2016-02-24,IN,Boone
0.16666666666666666,99966.14,28.448,95.0,5.640000000000001,2016-02-25,IN,Boone
0.0,,,71.5,1.035,2016-02-26,IN,Boone
0.0,,,63.5,1.3499999999999999,2016-02-27,IN,Boone
9.1,,,57.0,1.56,2016-02-28,IN,Boone
16.403333333333332,100474.1,0.0,51.333333333333336,3.8066666666666666,2016-02-29,IN,Boone
9.88,101693.2,3.048,52.0,2.0233333333333334,2016-03-01,IN,Boone
-1.8066666666666666,101456.15,3.302,75.66666666666667,5.453333333333333,2016-03-02,IN,Boone
0.4533333333333333,102235.02,0.0,55.333333333333336,0.8666666666666667,2016-03-03,IN,Boone
4.13,101727.07,2.54,81.33333333333333,1.4233333333333331,2016-03-04,IN,Boone
1.49,102235.02,1.778,65.33333333333333,0.6,2016-03-05,IN,Boone
4.2,,,80.5,4.27,2016-03-06,IN,Boone
10.05,,,48.5,1.67,2016-03-07,IN,Boone
16.0,,,40.0,1.64,2016-03-08,IN,Boone
18.95,,,58.0,1.865,2016-03-09,IN,Boone
14.3,,,94.5,0.95,2016-03-10,IN,Boone
8.65,,,90.5,2.34,2016-03-11,IN,Boone
11.603333333333333,102742.98,0.0,73.66666666666667,0.6933333333333334,2016-03-12,IN,Boone
15.013333333333334,101930.25,0.254,75.66666666666667,0.9666666666666668,2016-03-13,IN,Boone
17.7,,,71.0,0.9,2016-03-14,IN,Boone
14.25,,,88.0,1.61,2016-03-15,IN,Boone
20.919999999999998,100338.65,0.0,63.666666666666664,1.7333333333333334,2016-03-16,IN,Boone
13.26,101422.29,0.762,36.333333333333336,2.6833333333333336,2016-03-17,IN,Boone
12.2,,,37.0,0.8200000000000001,2016-03-18,IN,Boone
9.3,,,39.0,1.35,2016-03-19,IN,Boone
6.2,,,56.0,2.055,2016-03-20,IN,Boone
5.353333333333334,102065.7,0.0,45.666666666666664,2.493333333333333,2016-03-21,IN,Boone
8.0,,,46.0,1.145,2016-03-22,IN,Boone
16.9,,,31.0,3.87,2016-03-23,IN,Boone
16.25,,,61.5,2.065,2016-03-24,IN,Boone
10.25,,,75.5,3.87,2016-03-25,IN,Boone
6.8,,,63.0,1.92,2016-03-26,IN,Boone
14.4,,,43.5,1.1949999999999998,2016-03-27,IN,Boone
15.6,,,86.0,1.175,2016-03-28,IN,Boone
8.5,,,71.0,1.795,2016-03-29,IN,Boone
10.95,,,43.5,1.4649999999999999,2016-03-30,IN,Boone
12.05,,,94.5,1.03,2016-03-31,IN,Boone
17.0,,,79.0,2.9,2016-04-01,IN,Boone
9.15,,,61.0,2.165,2016-04-02,IN,Boone
2.31,101456.15,0.0,57.5,2.145,2016-04-03,IN,Boone
14.746666666666664,101117.52,0.0,43.333333333333336,3.64,2016-04-04,IN,Boone
2.15,,,59.0,3.34,2016-04-05,IN,Boone
7.05,,,43.5,2.315,2016-04-06,IN,Boone
9.25,,,90.5,4.235,2016-04-07,IN,Boone
